date,Research,gasage_yr_bp,co2_ppmv,sig_mean_co2_ppmv
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",44.45643669,297.3282186,0.633975438
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",44.64919586,299.0235966,0.633982133
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",46.09347466,295.9913578,0.941344934
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",48.29812529,295.6106368,1.330060371
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",49.82164924,294.2207216,1.161608778
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",51.05759501,297.0473645,2.214617575
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",51.34283969,295.2814575,0.633967405
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",56.24367504,293.8088307,0.941339193
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",56.34117894,293.1665417,1.723026649
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",56.9397,295.3164627,0.63517745
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",57.12160449,294.8594308,1.723029074
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",57.60948146,295.1719293,0.633966977
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",60.13105781,290.9175394,1.161601792
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",60.99251947,292.3423879,0.67604996
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",62.60553327,294.3417875,0.633963736
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",64.39987097,288.1157637,2.012887925
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",65.8201,289.2265988,0.616607284
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",66.20852757,289.7624132,0.941328661
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",67.07764628,292.4639348,0.950462496
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",70.04941602,287.7707292,1.16159521
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",73.09478323,289.3281311,0.633944357
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",76.26201968,291.5581975,2.21461145
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",77.17362217,286.6550967,1.342066932
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",79.9553142,286.3257815,1.161592212
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",80.34387828,287.9864944,0.633939227
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",81.58508691,289.5361449,1.723021494
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",82.2696,287.9922513,0.412768833
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",83.25611205,285.0522923,1.677474062
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",85.87161823,286.6541582,1.161592892
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",87.02144426,285.3533188,0.941317351
